land,ypos,bundesland,JoinforGeoJson,ypos_scale_scatter,attacks_Bundeslander,LEQfort_city,housing_ypos,OffStell_city,Jobs_ypos,fluchtlinge_city,flucht_ypos,Zuweisungen_city,flucht_ypos,sum_city,short,city,Sweetspots_city,Sweetspots_ypos,Latitude,Longitude,head,Bundesratsstimmgewicht,area,pop,pop_per_km,imigration,language
Sachsen-Anhalt,8,Sachsen-Anhalt,13,6,25,3,4,3,3,2.766131417,4,636,10,6,ST,Magdeburg,8,1,52.120533,11.627624,CDU und SPD,4,"20,452",2.25,110,1.9,"Deutsch, Niederdeutsch"
Mecklenburg-Vorpommern,2,Mecklenburg-Vorpommern,8,4,27,3,1,3,6,0.690305049,15,63,16,6,MV,Schwerin,8,2,53.635502,11.40125,SPD und CDU,3,"23,212",1.6,69,2.5,"Deutsch, Niederdeutsch"
Saarland,14,Saarland,12,14,5,3,2,2,16,0.520453836,16,170,15,5,SL,Saarbrücken,8,3,49.240157,6.996933,CDU und SPD,3,"2,569",991,386,8.7,Deutsch
Thueringen,11,Thueringen,16,11,14,2,10,3,4,2.76187434,5,562,12,5,TH,Erfurt,7,4,50.984768,11.02988,"Die Linke, SPDund Gr�_ne",4,"16,173",2.16,134,2.3,Deutsch
Rheinland-Pfalz,13,Rheinland-Pfalz,11,12,10,1,15,3,5,1.94486553,11,394,13,4,RP,Mainz,7,5,49.992862,8.247253,SPD undGr�_ne,4,"19,854",3.99,201,7.9,Deutsch
Bremen,4,Bremen,5,16,2,2,6,2,11,3.751480005,2,2050,5,4,HB,Bremen,7,6,53.079296,8.801694,SPD undGr�_ne,3,419,657,1568,12.7,"Deutsch, Niederdeutsch"
Nordrhein-Westfalen,9,Nordrhein-Westfalen,10,2,47,2,9,3,1,2.403643702,8,1427,6,5,NW,Düsseldorf,6,7,51.227741,6.773456,SPD undGr�_ne,6,"34,11",17.57,515,10.7,"Deutsch, Niederdeutsch"
Hamburg,3,Hamburg,6,15,3,1,14,2,8,3.715103513,3,6443,2,3,HH,Hamburg,6,8,53.551085,9.993682,SPD undGr�_ne (ehem. GAL),3,755,1.75,2313,14,"Deutsch, Niederdeutsch"
Niedersachsen,7,Niedersachsen,9,8,20,2,8,2,10,2.129472652,9,2384,4,4,NI,Hannover,6,9,52.375892,9.73201,SPD undGr�_ne,6,"47,613",7.79,164,6.9,"Deutsch,Saterfriesisch, Niederdeutsch"
Hessen,12,Hessen,7,10,15,2,7,2,13,2.459396411,7,671,9,4,HE,Wiesbaden,6,10,50.078218,8.239761,CDU undGr�_ne,5,"21,115",6.05,286,11.5,Deutsch
Schleswig-Holstein,1,Schleswig-Holstein,15,13,8,1,16,2,14,2.638973427,6,633,11,3,SH,Kiel,6,11,54.323293,10.122765,"SPD, Gr�_neund SSW",4,"15,8",2.82,178,5.3,"Deutsch, D�_nisch,Friesisch, Plattdeutsch oder Niederdeutsch undRomanes"
Brandenburg,6,Brandenburg,4,9,16,2,5,2,15,1.823112036,13,291,14,4,BB,Potsdam,6,12,52.390569,13.064473,SPD und Linke,4,"29,654",2.45,83,2.8,"Deutsch,Niedersorbisch,Niederdeutsch"
Baden-Wuerttemberg,15,Baden-Wuerttemberg,1,3,31,1,11,3,2,1.971148179,10,1179,7,4,BW,Stuttgart,5,13,48.775846,9.182932,Gr�_ne undSPD,6,"35,751",10.63,297,12.1,Deutsch
Berlin,5,Berlin,3,7,23,1,13,2,7,4.530072392,1,15290,1,3,BE,Berlin,5,14,52.520007,13.404954,SPD und CDU,4,892,3.42,3836,14.9,Deutsch
Bayern,16,Bayern,2,5,26,1,12,2,9,1.79602621,14,2493,3,3,BY,Munich,5,15,48.135125,11.581981,CSU,6,"70,55",12.6,179,9.9,Deutsch
Sachsen,10,Sachsen,14,1,80,3,3,2,12,1.841536455,12,967,8,4,SN,Dresden,5,16,51.050409,13.737262,CDU und SPD,4,"18,42",4.05,220,2.9,"Deutsch,Obersorbisch"